predictor,cut_num,clusterID,response,spearman_correlation
landsatCcdc_green_changeRatep035p050,0,32,EVERGREEN_SHRUBS_corr,0.109767479
landsatCcdc_nir_changeRatep050p065,0,12,EVERGREEN_SHRUBS_corr,-0.108461338
landsatCcdc_evi_seasonalp095,0,173,EVERGREEN_SHRUBS_corr,0.108445138
landsatCcdc_bluecc_seasonalp095,0,7,EVERGREEN_SHRUBS_corr,0.104336363
landsatCcdc_nir_changeRatep080p095,0,242,EVERGREEN_SHRUBS_corr,-0.102323488
landsatCcdc_green_changeRatep080p095,0,207,EVERGREEN_SHRUBS_corr,-0.101284144
landsatCcdc_btemp_changeRatep080p095,0,194,EVERGREEN_SHRUBS_corr,-0.09020979
landsatCcdc_ndwi_changeRatep005p020,0,47,EVERGREEN_SHRUBS_corr,0.088495607
landsatCcdc_btemp_seasonalp005,0,217,EVERGREEN_SHRUBS_corr,0.079282757
landsatCcdc_ndsi_changeRatep005p020,0,30,EVERGREEN_SHRUBS_corr,0.078502109
landsatCcdc_nir_changeRatep065p080,0,10,EVERGREEN_SHRUBS_corr,-0.077269376
landsatCcdc_bluecc_seasonalp020,0,2,EVERGREEN_SHRUBS_corr,0.076241676
predicted_cover_salshr,0,197,EVERGREEN_SHRUBS_corr,-0.074075811
landsatCcdc_swir2_changeRatep005p020,0,21,EVERGREEN_SHRUBS_corr,0.067847948
landsatCcdc_evi_seasonalp035,0,129,EVERGREEN_SHRUBS_corr,0.055937259
topo_slope,0,24,EVERGREEN_SHRUBS_corr,-0.048627426
topo_elevation_m,0,52,EVERGREEN_SHRUBS_corr,-0.045661271
landsatCcdc_btemp_seasonalp065,0,214,EVERGREEN_SHRUBS_corr,-0.042811555
landsatCcdc_tcwgd_seasonalp005,0,118,EVERGREEN_SHRUBS_corr,0.038928063
landsatCcdc_redcc_changeRatep005p020,0,239,EVERGREEN_SHRUBS_corr,-0.037138954
climTerra_mjt,0,16,EVERGREEN_SHRUBS_corr,0.028330603
landsatCcdc_swir1_changeRatep005p020,0,20,EVERGREEN_SHRUBS_corr,-0.024133739
landsatCcdc_bluecc_changeRatep035p050,0,19,EVERGREEN_SHRUBS_corr,0.002739352
landsatCcdc_red_changeRatep080p095,0,150,FORBS_corr,0.468447882
predicted_cover_FORBS,0,183,FORBS_corr,0.434575597
landsatCcdc_nbr_changeRatep020p035,0,162,FORBS_corr,0.421638713
landsatCcdc_swir2_changeRatep035p050,0,67,FORBS_corr,-0.407324376
landsatCcdc_green_changeRatep065p080,0,206,FORBS_corr,0.404809372
landsatCcdc_ndmi_changeRatep050p065,0,15,FORBS_corr,-0.391643385
landsatCcdc_tcg_changeRatep050p065,0,9,FORBS_corr,-0.391276533
landsatCcdc_btemp_changeRatep005p020,0,13,FORBS_corr,-0.354167632
landsatCcdc_tcw_changeRatep020p035,0,187,FORBS_corr,0.350196199
predicted_cover_betshr,0,101,FORBS_corr,-0.331463099
landsatCcdc_red_changeRatep035p050,0,57,FORBS_corr,-0.33125875
topo_elevation_m,0,52,FORBS_corr,-0.298992184
landsatCcdc_swir2_changeRatep050p065,0,210,FORBS_corr,0.287000754
landsatCcdc_greencc_changeRatep080p095,0,22,FORBS_corr,-0.28609977
landsatCcdc_ndwi_changeRatep005p020,0,47,FORBS_corr,-0.268505077
landsatCcdc_ndvi_changeRatep080p095,0,46,FORBS_corr,-0.258405664
landsatCcdc_greencc_changeRatep065p080,0,40,FORBS_corr,-0.249194317
predicted_cover_EVERGREEN_SHRUBS,0,51,FORBS_corr,-0.24801654
landsatCcdc_swir1_changeRatep035p050,0,23,FORBS_corr,-0.230117361
topo_surfaceReliefRatio_10k,0,25,FORBS_corr,-0.22749813
landsatCcdc_btemp_amplitude,0,70,FORBS_corr,-0.216786032
landsatCcdc_btemp_seasonalp005,0,217,FORBS_corr,0.207652189
landsatCcdc_swir1_amplitude,0,37,FORBS_corr,0.205333529
topo_twi_100,0,189,FORBS_corr,0.202012109
landsatCcdc_swir2_changeRatep005p020,0,21,FORBS_corr,-0.201873622
climTerra_mjt,0,16,FORBS_corr,-0.190416244
topo_slope,0,24,FORBS_corr,0.18212655
landsatCcdc_tcwgd_changeRatep080p095,0,103,FORBS_corr,-0.179314154
landsatCcdc_bluecc_changeRatep080p095,0,116,FORBS_corr,0.170811323
landsatCcdc_redcc_seasonalp005,0,191,FORBS_corr,0.169303871
landsatCcdc_evi_seasonalp035,0,129,FORBS_corr,0.166891559
landsatCcdc_greencc_median,0,27,FORBS_corr,-0.166128791
landsatCcdc_nbr_seasonalp005,0,91,FORBS_corr,-0.165542345
predicted_cover_GRAMINOIDS,0,188,FORBS_corr,0.153103992
landsatCcdc_green_amplitude,0,26,FORBS_corr,-0.14824475
landsatCcdc_nir_amplitude,0,82,FORBS_corr,0.142019244
landsatCcdc_redcc_seasonalp020,0,230,FORBS_corr,0.141997284
landsatCcdc_btemp_seasonalp095,0,227,FORBS_corr,0.141501905
landsatCcdc_tcb_changeRatep035p050,0,198,FORBS_corr,-0.124681606
landsatCcdc_tcwgd_seasonalp005,0,118,FORBS_corr,-0.123011395
climTerra_tapmm,0,18,FORBS_corr,-0.121532664
landsatCcdc_tcb_changeRatep005p020,0,55,FORBS_corr,0.112909398
landsatCcdc_nir_changeRatep035p050,0,153,FORBS_corr,0.108283703
landsatCcdc_nir_mean,0,171,FORBS_corr,0.103869206
landsatCcdc_red_changeRatep050p065,0,141,FORBS_corr,0.093276351
landsatCcdc_ndsi_changeRatep005p020,0,30,FORBS_corr,-0.091410443
landsatCcdc_blue_changeRatep050p065,0,195,FORBS_corr,0.087871257
landsatCcdc_red_changeRatep005p020,0,43,FORBS_corr,-0.087795529
landsatCcdc_btemp_changeRatep035p050,0,181,FORBS_corr,-0.079255237
landsatCcdc_bluecc_seasonalp035,0,5,FORBS_corr,0.076022676
landsatCcdc_tcb_seasonalp020,0,220,FORBS_corr,0.067685186
predicted_cover_salshr,0,197,FORBS_corr,0.058474288
predicted_cover_alnshr,0,196,FORBS_corr,0.041305307
landsatCcdc_bluecc_seasonalp005,0,1,FORBS_corr,-0.03427387
landsatCcdc_blue_seasonalp005,0,247,FORBS_corr,0.028167849
landsatCcdc_bluecc_changeRatep005p020,0,34,FORBS_corr,0.027990882
landsatCcdc_tcb_changeRatep020p035,0,33,FORBS_corr,0.026214103
landsatCcdc_blue_seasonalp035,0,236,FORBS_corr,-0.022123185
landsatCcdc_bluecc_changeRatep035p050,0,19,FORBS_corr,-0.018630986
landsatCcdc_redcc_changeRatep005p020,0,239,FORBS_corr,-0.007137147
landsatCcdc_tcwgd_changeRatep050p065,0,104,FORBS_corr,-0.006241976
landsatCcdc_swir1_changeRatep005p020,0,20,FORBS_corr,0.000867076
predicted_cover_GRAMINOIDS,0,188,GRAMINOIDS_corr,0.558793525
landsatCcdc_redcc_changeRatep035p050,0,66,GRAMINOIDS_corr,-0.533529665
landsatCcdc_greencc_seasonalp005,0,56,GRAMINOIDS_corr,-0.516124872
landsatCcdc_red_amplitude,0,158,GRAMINOIDS_corr,0.467255908
predicted_cover_EVERGREEN_SHRUBS,0,51,GRAMINOIDS_corr,-0.465929403
landsatCcdc_redcc_seasonalp020,0,230,GRAMINOIDS_corr,0.45030766
